timestamp,underlyer,tri,spot,carry,active,version
2000-05-19 19:00:00,JPY,-6.532779055713405,-4.085256836706628,-6.88661854697159,True,v2
2000-05-22 19:00:00,JPY,-6.261702477566146,-3.800050999715275,-6.810218572568374,True,v2
2000-05-23 19:00:00,JPY,-6.011670115266142,-3.5331166056230527,-6.822870396615031,True,v2
2000-05-24 19:00:00,JPY,-6.3628786917666105,-3.825837486537362,-6.773529476872113,True,v2
2000-05-25 19:00:00,JPY,-6.59439916621325,-4.014775832971684,-7.187725034744403,True,v2
2000-05-26 19:00:00,JPY,-6.407557014033472,-3.828806992240714,-6.835903068552511,True,v2
2000-05-29 19:00:00,JPY,-6.440587673685954,-3.8439858177790796,-6.812656683685532,True,v2
2000-05-30 19:00:00,JPY,-5.64853287636339,-3.035876029609043,-6.8732507663150955,True,v2
2000-05-31 19:00:00,JPY,-6.520932372778859,-3.8299786083077425,-6.984884193205403,True,v2
2000-06-01 19:00:00,JPY,-7.854490464408002,-5.14220152235082,-6.873704159567637,True,v2
2000-06-02 19:00:00,JPY,-7.575360925761743,-4.84545307769769,-6.833307696172142,True,v2
2000-06-05 19:00:00,JPY,-6.887158954943885,-4.139959019073597,-6.785813903445046,True,v2
2000-06-06 19:00:00,JPY,-6.311129413569205,-3.5535143103934526,-6.709654063180324,True,v2
2000-06-07 19:00:00,JPY,-4.988875733904479,-2.1886441683138993,-6.699287667535714,True,v2
2000-06-08 19:00:00,JPY,-5.3437217393364165,-2.515890684411921,-6.715676837707747,True,v2
2000-06-09 19:00:00,JPY,-6.282823919682386,-3.4159335435956852,-6.759052659758709,True,v2
2000-06-12 19:00:00,JPY,-6.0175756518039805,-3.138964917455585,-6.697759004505315,True,v2
2000-06-13 19:00:00,JPY,-6.140258482292381,-3.1890806609584317,-6.664581002571026,True,v2
2000-06-14 19:00:00,JPY,-6.214488991426336,-3.263006353713714,-6.668986381114905,True,v2
2000-06-15 19:00:00,JPY,-5.879553483385649,-2.9126631897129105,-6.682807709882468,True,v2
2000-06-16 19:00:00,JPY,-5.935192479433368,-2.9475895811468575,-6.716096627601473,True,v2
2000-06-19 19:00:00,JPY,-5.413947833045782,-2.419000562715988,-6.673422822140651,True,v2
2000-06-20 19:00:00,JPY,-5.374750151408719,-2.3607689742448756,-6.688481476296602,True,v2
2000-06-21 19:00:00,JPY,-5.238330982265325,-2.176591817033759,-6.6312598254319255,True,v2
2000-06-22 19:00:00,JPY,-5.352381749638823,-2.2690769206700647,-6.660086957780322,True,v2
2000-06-23 19:00:00,JPY,-4.354665981645255,-1.273722879172659,-6.6305802438671435,True,v2
2000-06-26 19:00:00,JPY,-5.263885166180259,-2.1417993663564796,-6.632562315978703,True,v2
2000-06-27 19:00:00,JPY,-5.572994792629217,-2.427446327871079,-6.582916614837586,True,v2
2000-06-28 19:00:00,JPY,-5.385577115459981,-2.246787863901603,-6.415845017847914,True,v2
2000-06-29 19:00:00,JPY,-4.503427803726481,-1.317107125602838,-6.312566594093028,True,v2
2000-06-30 19:00:00,JPY,-5.406622641054412,-2.2167404298639246,-6.440357001080201,True,v2
2000-07-03 19:00:00,JPY,-6.058908482049915,-2.798316818054187,-6.535080555740365,True,v2
2000-07-04 19:00:00,JPY,-6.253767462274752,-2.9805053760389235,-6.437134193971019,True,v2
2000-07-05 19:00:00,JPY,-6.378700911792379,-3.0326004088492398,-6.474434801041298,True,v2
2000-07-06 19:00:00,JPY,-7.048700664921853,-3.6958487590367683,-6.422931370876768,True,v2
2000-07-07 19:00:00,JPY,-7.671968782577579,-4.297533476244954,-6.48287001467736,True,v2
